,Date,State/UT,Latitude,Longitude,Confirmed,Active,Deaths,Mortality rate,Cured,Recovery rate
285,2020/03/22,Puducherry,11.9416,79.8083,1,1,0,0.0,0,0.0
286,2020/03/22,Punjab,31.1471,75.3412,21,20,1,0.047619047619047616,0,0.0
287,2020/03/22,Rajasthan,27.0238,74.2179,24,21,0,0.0,3,0.125
288,2020/03/22,Tamil Nadu,11.1271,78.6569,7,6,0,0.0,1,0.14285714285714285
289,2020/03/22,Telengana,18.1124,79.0193,22,21,0,0.0,1,0.045454545454545456
290,2020/03/22,Uttar Pradesh,26.8467,80.9462,27,18,0,0.0,9,0.3333333333333333
291,2020/03/22,Uttarakhand,30.0668,79.0193,3,3,0,0.0,0,0.0
292,2020/03/22,West Bengal,22.9868,87.855,4,4,0,0.0,0,0.0
293,2020/03/23,Andhra Pradesh,15.9129,79.74,7,7,0,0.0,0,0.0
294,2020/03/23,Bihar,25.0961,85.3131,2,1,1,0.5,0,0.0
295,2020/03/23,Chandigarh,30.7333,76.7794,6,6,0,0.0,0,0.0
296,2020/03/23,Chhattisgarh,21.2787,81.8661,1,1,0,0.0,0,0.0
297,2020/03/23,Delhi,28.7041,77.1025,29,23,1,0.034482758620689655,5,0.1724137931034483
298,2020/03/23,Gujarat,22.2587,71.1924,29,28,1,0.034482758620689655,0,0.0
299,2020/03/23,Haryana,29.0588,76.0856,26,15,0,0.0,11,0.4230769230769231
300,2020/03/23,Himachal Pradesh,31.1048,77.1734,2,2,0,0.0,0,0.0
301,2020/03/23,Jammu and Kashmir,33.7782,76.5762,4,4,0,0.0,0,0.0
302,2020/03/23,Karnataka,15.3173,75.7139,33,30,1,0.030303030303030304,2,0.06060606060606061
303,2020/03/23,Kerala,10.8505,76.2711,67,64,0,0.0,3,0.04477611940298507
304,2020/03/23,Ladakh,34.2996,78.2932,13,13,0,0.0,0,0.0
305,2020/03/23,Madhya Pradesh,22.9734,78.6569,6,6,0,0.0,0,0.0
306,2020/03/23,Maharashtra,19.7515,75.7139,74,72,2,0.02702702702702703,0,0.0
307,2020/03/23,Odisha,20.9517,85.0985,2,2,0,0.0,0,0.0
308,2020/03/23,Puducherry,11.9416,79.8083,1,1,0,0.0,0,0.0
309,2020/03/23,Punjab,31.1471,75.3412,21,20,1,0.047619047619047616,0,0.0
310,2020/03/23,Rajasthan,27.0238,74.2179,28,25,0,0.0,3,0.10714285714285714
311,2020/03/23,Tamil Nadu,11.1271,78.6569,9,8,0,0.0,1,0.1111111111111111
312,2020/03/23,Telengana,18.1124,79.0193,32,31,0,0.0,1,0.03125
313,2020/03/23,Uttar Pradesh,26.8467,80.9462,31,22,0,0.0,9,0.2903225806451613
314,2020/03/23,Uttarakhand,30.0668,79.0193,3,3,0,0.0,0,0.0
315,2020/03/23,West Bengal,22.9868,87.855,7,6,1,0.14285714285714285,0,0.0
316,2020/03/24,Andhra Pradesh,15.9129,79.74,8,8,0,0.0,0,0.0
317,2020/03/24,Bihar,25.0961,85.3131,3,2,1,0.3333333333333333,0,0.0
